     pageID bytes
1  23102054   925
2  14726567 13971
3  14210177  1828
4  49343255  2149
5   4283208  3774
6  46998525 28154
7  21926261  1979
8  27126772  4328
9  55830128  4537
10 42747474  1637
11   952471  8365
12   729228 28248
13 44130763  1348
14 36565599  5876
15  3183220  7435
16 21891109  2882
17 53571360  4949
18 48674837  7328
19 45129808 23086
20 15103112  2345
